"state","capital","zipcode","abbreviations"
"Alabama","Montgomery","36101","AL","Ala"
"Alaska","Juneau","99801","AK","Alk"
"Arizona","Phoenix","85001","AZ","Ariz"
"Arkansas","Little Rock","72099","AR","Ark"
"California","Sacramento","94203","CA","Cal","Calif","Cali"
"Colorado","Denver","80201","CO","Col"
"Connecticut","Hartford","6101","CT","Conn"
"Delaware","Dover","19901","DE","Del"
"Florida","Tallahassee","32301","FL","Flo","flor"
"Georgia","Atlanta","39901","GA","Geo"
"Hawaii","Honolulu","96801","HI"
"Idaho","Boise","83701","ID","Ida"
"Illinois","Springfield","62701","IL","ILL","ills"
"Indiana","Indianapolis","46201","IN","IND"
"Iowa","Des Moines","50301","IA","IOA"
"Kansas","Topeka","66601","KS","Kan","KA"
"Kentucky","Frankfort","40601","KY","KTY","Ken"
"Louisiana","Baton Rouge","70801","LA"
"Maine","Augusta","4330","ME"
"Maryland","Annapolis","20701","MD"
"Massachusetts","Boston","02101","MA","MASS"
"Michigan","Lansing","48901","MI","MICH"
"Minnesota","Saint Paul","55071","MN","MINN"
"Mississippi","Jackson","39201","MS","MISS"
"Missouri","Jefferson City","65101","MO","MISS"
"Montana","Helena","59601","MT","MONT"
"Nebraska","Lincoln","68501","NE","NEB"
"Nevada","Carson City","89701","NV","NEV"
"New Hampshire","Concord","3301","NH"
"New Jersey","Trenton","8601","NJ"
"New Mexico","Santa Fe","38482","NM"
"New York","Albany","12201","NY"
"North Carolina","Raleigh","27561","NC","N.Car"
"North Dakota","Bismarck","58501","ND","N.Dark"
"Ohio","Columbus","43085","OH","O"
"Oklahoma","Oklahoma City","73101","OK","OKLA"
"Oregon","Salem","97301","OR","ORE"
"Pennsylvania","Harrisburg","17101","PA","Penn","Penna"
"Rhode Island","Providence","2901","RI"
"South Carolina","Columbia","29201","SC","S.Car"
"South Dakota","Pierre","57501","SD","SoDak"
"Tennessee","Nashville","37201","TN","Tenn"
"Texas","Austin","73301","TX","Tex"
"Utah","Salt Lake City","84101","UT","UTAH"
"Vermont","Montpelier","5601","VT"
"Virginia","Richmond","23201","VA","VIRG"
"Washington","Olympia","98501","WA","Wash","Wn"
"West Virginia","Charleston","25301","WV","W Virg"
"Wisconsin","Madison","53701","WI","Wisc"
"Wyoming","Cheyenne","82001","WY","WYO"
